Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
PKCS;Condensate Stabilization Package;"Includes internal corrosion monitoring probes
Includes internal sampling points
Includes internal instrumentation tubing and connections
Includes internal heat tracing if present
Includes internal flame arrestors if used
Includes stabilizer vessel or column shell
Includes reboiler or heating medium exchanger integral to stabilization
Includes condensate feed pre-heaters
Includes product coolers associated with the package
Includes reflux drum or vessel internal to the package
Includes package process piping (feed, overhead, bottoms, reflux, drains, vents)
Includes gaskets, seals, bolting, nozzles, manway covers, access flanges
Includes insulation and cladding directly installed on package equipment
Includes mechanical supports and skid structure
Includes access platforms integral to the skid
Excludes control valves integral to stabilization operation
Excludes pressure-control valves serving the package
Excludes level-control valves associated with reflux or bottoms
Excludes check valves within package process lines
Excludes drain valves and vent valves mounted on the skid
Excludes local pressure, temperature, level, and flow instruments dedicated to the package
Excludes differential-pressure indicators or transmitters associated with exchangers
Excludes local panels or junction boxes dedicated exclusively to the package
Excludes actuators for package-mounted valves
Excludes feed pumps and export pumps
Excludes stripping-gas compressors
Excludes heating medium pumps or external heating-medium circuits
Excludes downstream storage tanks or offloading systems
Excludes upstream separators or dehydrators
Excludes MCCs, UPS systems, switchboards and external power distribution
Excludes control room–based ICSS/PCS/ESD systems
Excludes external seawater, cooling medium or process-water lines
Excludes lifting beams, davits, mono";;;;;;;;;;;;;;;
VEMM;Filter, Membrane;"Includes O-rings and seals
Includes Membrane cleaning system
Includes Membrane integrity test ports
Excludes Interconnecting Pipework, valves, vents and drains, including supporting structural steelwork.";;;;;;;;;;;;;;;
UPDP;UPS Distribution board;"Includes internal circuit breakers/fuses
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes enclosure
Includes internal terminal blocks
Excludes associated switches
Excludes Distribution panel not associated with UPS";;;;;;;;;;;;;;;
LAIR;Ironer, Laundry;"Includes Pressure regulator
Includes Steam hose/connection
Includes Electrical heating element
Includes Safety thermal cut-off
Includes Water reservoir/tank
Includes Steam nozzle/vent
Includes Iron soleplate
Includes Iron handle/grip
Includes Ironing board cover
Includes Ironing board legs/frame
Includes Ironing board height adjustment mechanism
Includes Steam generation chamber
Includes Water quality sensor
Includes Iron weight/balance mechanism
Includes Iron cord/strain relief
Includes Iron temperature dial/display
Includes Iron auto-shutoff mechanism
Includes Ironing board heat-resistant pad
Includes Ironing board stability feet
Includes Iron water tank seal/gasket
Includes Iron steam chamber seal
Includes Iron electrical wiring/connections
Includes Ironing board folding/locking mechanism
Includes Ironing board storage hooks
Includes Iron anti-drip system
Includes Iron self-cleaning function components
Includes Ironing board iron rest/holder
Includes Iron steam burst function components
Includes Ironing board sleeve board attachment
Includes Iron water tank cleaning access
Includes Iron steam vent cleaning tool
Includes Iron soleplate cleaning tool
Includes Ironing board cover attachment clips
Includes Ironing board leg locking pins
Includes Iron steam output adjustment dial
Includes Iron temperature calibration mechanism
Includes Ironing board adjustable tilt mechanism
Includes Clothes iron
Includes Steam iron
Includes Ironing board";;;;;;;;;;;;;;;
MPIC;Impressed Current Protection;"Includes power supply unit
Includes cabling and connections
Includes monitoring and alarm system
Includes grounding connections
Includes ICCP system
Includes reference electrodes
Includes anodes
Includes propeller shaft earth bonding arrangement
Excludes control panel";;;;;;;;;;;;;;;
SPSR;Strainer;"Includes internals
Excludes isolation valves
Excludes all others types of filters
Excludes pumps
Excludes strainer children of pumps, compressors
Excludes temporary filters which shall be removed after commissioning / special operation";;;;;;;;;;;;;;;
DREM;Motor, Electric;"Includes Axle, rotor, stator, commutator, field magnet(s) and brushes
Excludes Junction Box
Excludes Gearbox
Excludes Associated switchgear/MCC/control panel";;;;;;;;;;;;;;;
VASD;Valve, Shutdown;"Includes Actuator linkage and mounting hardware
Includes Local manual override mechanism
Includes Cable gland and field connection
Includes Local indication
Includes Tubing fittings
Excludes Pneumatic or hydraulic actuator
Excludes Solenoids valves
Excludes Valve position switch
Excludes Local control panel
Excludes Passive fire protection
Excludes Instrument that causes the valve closure (ESD, safety transmitters, etc.)";;;;;;;;;;;;;;;
VABD;Valve, Blowdown;"Includes bonnet and packing/gland assembly
Includes manual override mechanism
Includes the tubing fittings
Includes the cable gland and field connection
Includes local indication
Includes pneumatic timer for BDVs with staggered blowdown function
Excludes pneumatic or hydraulic actuator and their solenoids valves
Excludes valve position switch when fitted
Excludes the Local control panel when fitted
Excludes the instrument causing the valve closure (ESD, safety transmitters, etc…)";;;;;;;;;;;;;;;
VEAD;Adsorber;"Includes Pressure relief devices
Includes Internal baffles or trays
Includes Desiccant / drying agent (removal, inspection, replacement)
Includes Dust sieves / internal screens (cleaning and replacement)
Includes Gaskets and seals associated with the vessel and sieves
Includes Condensate drain trap
Includes Internal package pipework (visual inspection for leaks or damage)
Includes Filling and drain plugs (condition and sealing)
Includes Package cabling, glanding, and earthing (condition/security check)
Includes Dew‑point indication fault check, when applicable
Excludes Mufflers / silencers (cleaning or element replacement)
Excludes Control panels, PLC, HMI, and automation/monitoring logic
Excludes Air compressors, aftercoolers, air receivers, and distribution headers
Excludes Regeneration systems (heaters, switching valves, solenoids, blowers)
Excludes Instrument and service air network components outside the dryer skid";;;;;;;;;;;;;;;
COLR;Compressor, Liquid Ring;"Includes Cooling system
Includes Lubrication system
Includes Piping and connections
Includes Baseplate and foundation
Includes Mechanical Seals
Includes Instrumentation & Local Monitoring
Excludes Separator, Gas/Liquid
Excludes Pump, Liquid Ring Booster";;;;;;;;;;;;;;;
COAX;Axial Compressor;Includes Instrumentation & Monitoring;;;;;;;;;;;;;;;
CEOW;Oil Washing Machine;"Includes Seals and gaskets
Includes Couplings
Includes Heating elements
Includes Insulation
Includes Electrical connections and wiring
Includes Main casing / Protective Cover
Includes Nozzles (Supply Pipes)
Includes Rotating Shafts
Includes Drain Tank
Excludes Turbine Gearbox";;;;;;;;;;;;;;;
SPSQ;Sample & Injection Quills;"Includes sample probe
Includes injection nozzle
Includes connection fittings
Includes sealing elements
Includes support brackets";;;;;;;;;;;;;;;
CMCW;Weather Monitoring (Meteorological) System;"Includes Precipitation Sensor
Includes Visibility Sensor
Includes Solar Radiation Sensor
Includes Internal wiring and cabling
Includes Internal connectors and terminals
Includes Internal fuses/circuit breakers
Includes Internal backup power supply
Includes Internal diagnostic/test points
Includes Mounting hardware and brackets
Includes Environmental seals and gaskets
Includes Cloud Height Sensor
Includes Wave Height Sensor
Includes Wind Speed & Direction Sensor
Includes mounting arrangements
Excludes External Power Supplies / UPS";;;;;;;;;;;;;;;
NANS;Nav Aids System;"Includes GPS receivers
Includes power supply units
Includes signal processing units
Includes control and monitoring software
Includes AIS (Automatic Identification System) transceiver and monitor systems
Excludes radar transceivers and antenna and associated control, monitoring and signal processing panels";;;;;;;;;;;;;;;
NAFL;Light, Flood;"Includes All floodlights
Includes Consideration of equipment EX inspection requirements
Includes Support arrangements for floodlights
Excludes Main, secondary & subsidiary navigation lights
Excludes Obstruction and windsock lights
Excludes Helideck wave-off and perimeter lights";;;;;;;;;;;;;;;
NAPL;Perimeter Light;"Includes mounting brackets/hardware
Includes internal wiring/cabling
Includes internal terminal blocks/connectors
Includes internal fuses/circuit breakers
Includes internal surge protection devices
Includes internal ballasts/drivers
Includes internal lamps/LED modules
Includes internal reflectors/lenses
Includes internal gaskets/seals
Includes all heliport and touchdown/positioning lights
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Excludes windsock and associated lighting
Excludes Marine Lanterns
Excludes any associated distribution boards and control panels
Excludes aviation obstruction perimeter lights";;;;;;;;;;;;;;;
PKFI;Oil / Gas Metering Skid;"Includes instrument air supply
Includes electrical power supply
Includes grounding and bonding
Includes cable glands and seals
Includes heating/cooling systems for temperature control
Includes vibration dampeners
Includes alignment and mounting hardware
Includes seals and gaskets
Includes lubrication points
Includes calibration tools and fixtures
Includes all instrumentation associated with fiscal, allocation and operational metering
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Includes mounting assembly (bracket support, instrument enclosure)
Includes instrument cables and field termination
Includes prover system
Excludes flow orifices
Excludes signal processing (transmitter) circuitry";;;;;;;;;;;;;;;
